                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6596      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6 
                    log_star_age                           radius                        star_mass                       luminosity                   center_entropy                  Bolometric_Flux 
         2.0716997893164679E+000          1.2302777634324376E-001          5.1513086668007243E-005          1.0674932332453580E-007          8.2753614185309310E+000          8.4079809495026190E+006 
         2.1551413038360789E+000          1.2219661772047347E-001          5.1513086668007243E-005          8.9409943952637028E-008          8.2753835950796351E+000          8.2947583934720494E+006 
         2.2408901521290203E+000          1.2141610659118834E-001          5.1513086668007243E-005          7.5095915461023459E-008          8.2753929865896900E+000          8.1891339487971710E+006 
         2.3298961242081688E+000          1.2069281755957992E-001          5.1513086668007243E-005          6.3119295867976825E-008          8.2754168205538825E+000          8.0918574239621982E+006 
         2.4226910955400607E+000          1.2002312499634654E-001          5.1513086668007243E-005          5.3220746242186647E-008          8.2754339463254958E+000          8.0023074011580367E+006 
         2.5203513496920285E+000          1.1940216249258011E-001          5.1513086668007243E-005          4.5325909862868102E-008          8.2754467314868254E+000          7.9197186756577753E+006 
         2.6270642477780712E+000          1.1884638366218427E-001          5.1513086668007243E-005          3.9522947248990955E-008          8.2754799572145625E+000          7.8461627560023731E+006 
         2.7455642972412551E+000          1.1882575678303157E-001          5.1513086668007243E-005          3.9394429401155634E-008          8.2755115257255092E+000          7.8434394454324506E+006 
         2.8739212475464297E+000          1.1882260461638539E-001          5.1513086668007243E-005          3.9389458576841504E-008          8.2755447517134524E+000          7.8430233151093889E+006 
         3.0101555834513767E+000          1.1881803233812636E-001          5.1513086668007243E-005          3.9382287224609616E-008          8.2755934465732093E+000          7.8424197297032131E+006 
         3.1524598269934629E+000          1.1881147362795866E-001          5.1513086668007243E-005          3.9372010615050475E-008          8.2756250155171127E+000          7.8415539564299071E+006 
         3.2993108011901193E+000          1.1880206902625699E-001          5.1513086668007243E-005          3.9357231552808586E-008          8.2756565845814460E+000          7.8403125986603890E+006 
         3.4494957865375269E+000          1.1878853919019688E-001          5.1513086668007243E-005          3.9336027808866120E-008          8.2757042540968513E+000          7.8385269041079860E+006 
         3.6020874817093715E+000          1.1876915402073004E-001          5.1513086668007243E-005          3.9305612785189957E-008          8.2757358234634548E+000          7.8359687655039895E+006 
         3.7563968780435424E+000          1.1874130079021274E-001          5.1513086668007243E-005          3.9261975961298803E-008          8.2755067904411455E+000          7.8322938811655417E+006 
         3.9119222987755613E+000          1.1870129893068354E-001          5.1513086668007243E-005          3.9199986484838743E-008          8.2750158350825807E+000          7.8270176454524035E+006 
         4.0683036412568301E+000          1.1864382723388847E-001          5.1513086668007243E-005          3.9111025128267725E-008          8.2743498838437883E+000          7.8194402542825388E+006 
         4.2252849983939420E+000          1.1856147331988845E-001          5.1513086668007243E-005          3.8983582651534817E-008          8.2733365791844715E+000          7.8085886486049360E+006 
         4.3826857782487298E+000          1.1844355637617202E-001          5.1513086668007243E-005          3.8801457651490926E-008          8.2719007113125613E+000          7.7930640940812472E+006 
         4.5403791594374594E+000          1.1827523885612390E-001          5.1513086668007243E-005          3.8541922774793984E-008          8.2698637055833295E+000          7.7709307296078373E+006 
         4.6982763839136119E+000          1.1803586722963925E-001          5.1513086668007243E-005          3.8173873655808467E-008          8.2669206552169836E+000          7.7395081254976252E+006 
         4.8563154799829249E+000          1.1769722248641945E-001          5.1513086668007243E-005          3.7655138000626473E-008          8.2627666999260008E+000          7.6951625539148431E+006 
         5.0144532497368415E+000          1.1722166336086559E-001          5.1513086668007243E-005          3.6930689544285775E-008          8.2568708694822863E+000          7.6331031182021303E+006 
         5.1726596162087146E+000          1.1656072213741490E-001          5.1513086668007243E-005          3.5931587710167873E-008          8.2485764805517192E+000          7.5472689908921197E+006 
         5.3309136547010594E+000          1.1565501171453615E-001          5.1513086668007243E-005          3.4577515174501997E-008          8.2369931630623654E+000          7.4304357623954266E+006 
         5.4892008158566199E+000          1.1443685224431957E-001          5.1513086668007243E-005          3.2786964448148565E-008          8.2210044052722573E+000          7.2747349859665893E+006 
         5.6414380925929821E+000          1.1290483660071221E-001          5.1513086668007243E-005          3.0596310304311606E-008          8.2002415416486283E+000          7.0812587400853522E+006 
         5.7702282475648889E+000          1.1128401298019605E-001          5.1513086668007243E-005          2.8385667224921665E-008          8.1776590286062181E+000          6.8794057739165248E+006 
         5.8787399733013972E+000          1.0965866595023675E-001          5.1513086668007243E-005          2.6328028261641474E-008          8.1545446153366878E+000          6.6799203869056366E+006 
         5.9723969706848896E+000          1.0805022780924910E-001          5.1513086668007243E-005          2.4460340722280785E-008          8.1313292745124066E+000          6.4853996508959904E+006 
         6.0550682521657082E+000          1.0646879044109565E-001          5.1513086668007243E-005          2.2786282469924486E-008          8.1081866759264241E+000          6.2969466022692956E+006 
         6.1295637211062806E+000          1.0491890347972964E-001          5.1513086668007243E-005          2.1272003304713698E-008          8.0850839590026773E+000          6.1149492391257565E+006 
         6.1980422925351162E+000          1.0339717888834302E-001          5.1513086668007243E-005          1.9881599038136061E-008          8.0620223116745588E+000          5.9388553729395177E+006 
         6.2620538509982895E+000          1.0189707303248821E-001          5.1513086668007243E-005          1.8601867462067266E-008          8.0389807518032281E+000          5.7677813508480908E+006 
         6.3226109484231188E+000          1.0041321144348091E-001          5.1513086668007243E-005          1.7418695766491000E-008          8.0158309785920352E+000          5.6010194934099875E+006 
         6.3802670648538076E+000          9.8944658434559615E-002          5.1513086668007243E-005          1.6350300574185815E-008          7.9924321527352280E+000          5.4383866024226323E+006 
         6.4353775357464116E+000          9.7488516837187789E-002          5.1513086668007243E-005          1.5392873516918602E-008          7.9686233807575535E+000          5.2794939497656766E+006 
